chain,cation,anion,conf,corrEn
4,im,pf6,p2,-36.57442582
4,im,tos,p1,-51.32876831
4,im,tos,p2,-47.55323457
4,pyr,bf4,p1,-33.61903072
4,pyr,bf4,p2,-31.47678409
4,pyr,bf4,p3,-31.40151882
4,pyr,br,p1,-45.02527274
4,pyr,br,p2,-42.81761782
4,pyr,br,p3,-43.27885784
4,pyr,cl,p1,-38.45244524
4,pyr,cl,p2,-37.83424867
4,pyr,cl,p3,-37.34728108
4,pyr,dca,p1,-40.41750046
4,pyr,dca,p2,-42.61530321
4,pyr,dca,p3,-41.27105576
4,pyr,dca,p4,-42.12580485
4,pyr,dca,p5,-43.41471637
4,pyr,mes,p1,-40.00125408
4,pyr,mes,p2,-37.02600965
4,pyr,mes,p3,-36.17194436
4,pyr,pf6,p1,-33.66086331
4,pyr,pf6,p2,-31.23716226
4,pyr,pf6,p3,-31.20153379
